train/loss_actor,total/steps,reference_action_mean,param_noise_stddev,obs_rms_mean,rollout/episode_steps,reference_Q_std,total/episodes,rollout/episodes,reference_perturbed_action_std,total/steps_per_second,total/epochs,reference_actor_Q_std,reference_perturbed_action_mean,rollout/return,reference_actor_Q_mean,total/duration,rollout/actions_std,rollout/actions_mean,reference_Q_mean,obs_rms_std,train/loss_critic,rollout/return_history,train/param_noise_distance,reference_action_std,rollout/Q_mean
-13.4781839943,38775,-0.72161179781,0.2,0.605261802673,1938.75,6.70518779755,20.0,20.0,0.585331022739,380.675206634,1,6.72198104858,-0.586621701717,1909.1746689,13.6992950439,101.85848546,0.521852295156,-0.447147995281,13.6674976349,0.126981705427,0.932102531195,1909.1746689,,0.204429104924,8.57302689657
-24.2898071289,78815,0.0922453477979,0.2,0.606041133404,1970.375,15.9661083221,40.0,40.0,0.603806018829,362.317337333,2,15.8406953812,0.0274462793022,2046.57955973,22.5951194763,217.530302525,0.551212672974,-0.437416698239,22.0286998749,0.123824268579,2.41443161249,2046.57955973,,0.691513061523,14.9199626114
-33.289904747,118855,0.22999151051,0.2,0.60396617651,1980.91666667,23.7358837128,60.0,60.0,0.595758974552,376.166555401,3,23.4881763458,0.202743768692,2062.68472328,32.1870193481,315.963762045,0.599342040594,-0.348516418883,31.9376525879,0.122536115348,3.6337638855,2062.68472328,,0.761352479458,19.9756744656
-42.6591181946,153852,0.208868786693,0.121607764938,0.605119287968,1923.15,32.477191925,80.0,80.0,0.459064245224,363.439801771,4,32.2275543213,-0.509749233723,2135.53939804,40.2356529236,423.321824551,0.620564499345,-0.37526032668,39.9068717957,0.122536599636,6.54131953716,2135.53939804,,0.7715061903,24.7945184071
-48.9695827484,188778,0.37906613946,0.121607764938,0.605212807655,1887.78,40.7519798279,100.0,100.0,0.547598898411,358.056603257,5,40.5451927185,-0.417613983154,2029.46251758,48.8464889526,527.229489088,0.611125193639,-0.3948299016,48.4948272705,0.121526539326,11.3163608599,2029.46251758,,0.781755447388,28.0623645572
-55.0806261444,211834,0.163742557168,0.121607764938,0.604727447033,1765.28333333,46.5116920471,120.0,120.0,0.81675952673,354.316276315,6,46.2188224792,-0.0251781549305,2112.24978583,51.3527526855,597.866974115,0.618363644614,-0.349424837897,50.7961959839,0.121223911643,10.6981853533,2152.86480921,,0.806875884533,33.0187726281
-62.0986472321,229674,0.328566282988,0.121607764938,0.605949044228,1640.52857143,50.0043296814,140.0,140.0,0.64741897583,339.681040827,7,50.1673545837,0.455360025167,4544.29269405,47.4632530212,676.146067619,0.622710410204,-0.314673505321,47.045791626,0.123714372516,143.793494282,5543.37794779,,0.799508750439,39.0555420275
-70.6287559509,253842,-0.138165846467,0.121607764938,0.605146884918,1586.5125,52.6441040039,160.0,160.0,0.694982349873,338.706231874,8,52.0532188416,-0.330100625753,4430.53316455,52.3936958313,749.4459095,0.606424314145,-0.302993624972,51.5939331055,0.123511575162,145.032455902,5851.24222931,,0.875624120235,43.4914094444
-89.6164511871,273183,9.70363616943e-05,0.121607764938,0.60509365797,1517.68333333,50.1686325073,180.0,180.0,0.741303622723,331.00157592,9,49.7931175232,-0.112425096333,4796.6891337,54.1922798157,825.322354555,0.616694352478,-0.287430146729,54.0552444458,0.12459807843,212.433292847,6925.60892223,,0.919266164303,52.366577085
-123.758519135,294960,0.268016308546,0.121607764938,0.606066763401,1474.8,49.1414985657,200.0,200.0,0.88708204031,324.7937583,10,49.3704490662,0.266986340284,6050.89851648,55.1919403076,908.145530701,0.623749623281,-0.260017651383,54.7699127197,0.127788245678,141.000041389,10072.3345154,,0.909245371819,71.5027101576
