reference_Q_mean,total/episodes,param_noise_stddev,reference_action_mean,reference_actor_Q_mean,total/steps,reference_action_std,rollout/return_history,rollout/actions_std,reference_perturbed_action_mean,rollout/return,rollout/actions_mean,obs_rms_mean,total/steps_per_second,rollout/Q_mean,total/duration,total/epochs,rollout/episodes,train/loss_critic,train/loss_actor,reference_Q_std,reference_perturbed_action_std,rollout/episode_steps,train/param_noise_distance,reference_actor_Q_std,obs_rms_std
-23.3955059052,20.0,0.2,-0.664972305298,-21.8012313843,38036,0.347708076239,-9407.501572,0.556890657024,-0.305824428797,-9407.501572,0.161134826643,0.0987755283713,395.199923409,-11.3261827055,96.2449579239,1,20.0,6.94024306297,23.0286526871,10.1068105698,0.654047608376,1901.8,,10.9484186172,0.14421069622
-43.8816375732,40.0,0.2,-0.549298107624,-42.8545303345,71385,0.630577027798,-9242.22293247,0.584961675112,-0.459249347448,-9242.22293247,-0.0494990117842,0.104110226035,392.432065617,-25.4685136577,181.90409565,2,40.0,7.15526497841,51.347535553,24.9947280884,0.700245201588,1784.625,,24.2579669952,0.149154528975
-64.571395874,60.0,0.121607764938,-0.128141850233,-61.5764045715,111066,0.816009223461,-9802.27549405,0.593415194986,0.0281789656729,-9802.27549405,0.0974281369265,0.106224328279,395.853720106,-36.1779580947,280.573338985,3,60.0,11.1040887833,67.3973271942,28.5081996918,0.764780282974,1851.1,,28.2040958405,0.146062031388
-85.2906036377,80.0,0.121607764938,-0.282296776772,-83.6923904419,143468,0.669851660728,-9516.60921119,0.57812083902,-0.141791850328,-9516.60921119,0.189855547028,0.107121385634,391.746867671,-47.5209201438,366.226284981,4,80.0,16.9114824581,89.0154495239,38.0188522339,0.628280878067,1793.35,,37.6370124817,0.149776443839
-102.1849823,100.0,0.121607764938,-0.366937547922,-100.183822632,178217,0.682980358601,-9157.94208915,0.570572833178,-0.525844156742,-9157.94208915,0.189960469547,0.106426522136,392.780682398,-59.3050325985,453.731580973,5,100.0,10.758272171,106.190481262,43.3743019104,0.505384683609,1782.17,,42.8086090088,0.14771297574
-113.673789978,120.0,0.121607764938,-0.291991740465,-110.428962708,213840,0.725947856903,-8488.70358659,0.568067340402,-0.174684360623,-8641.83658416,0.136925615557,0.103682070971,393.1500708,-67.7483378793,543.914438486,6,120.0,18.9675126648,113.4079216,54.1249809265,0.712199270725,1782.0,,53.6013031006,0.150218993425
-116.748756409,140.0,0.121607764938,-0.16379083693,-113.435928345,237886,0.73297226429,-7203.99537417,0.558534467155,-0.308447450399,-7786.34610511,0.115017106449,0.104431852698,387.610348318,-71.6651512506,613.724584579,7,140.0,51.2144590378,110.788736572,55.5125694275,0.664538621902,1699.18571429,,53.7409439087,0.151291400194
-114.344673157,160.0,0.121607764938,-0.164889663458,-111.173057556,274086,0.778101086617,-6189.96278044,0.562942076369,-0.21002304554,-7544.58004804,0.0658663460203,0.102445080876,384.515659547,-78.3744835772,712.808420658,8,160.0,52.4878754807,107.415088501,57.0815238953,0.785608053207,1713.0375,,56.5382270813,0.151140421629
-122.762115479,180.0,0.121607764938,-0.126750394702,-118.3253479,312712,0.815832138062,-3296.01889304,0.546730416884,-0.248548030853,-6060.72570111,0.0525337968863,0.104953244328,382.461207772,-74.1513442612,817.630634546,9,180.0,38.9839371872,106.370815277,54.5823402405,0.792610347271,1737.28888889,,54.8202018738,0.152142569423
-126.229873657,200.0,0.0739422424658,-0.129532933235,-120.575302124,338503,0.8368460536,-1798.37441697,0.544553691654,-0.227850720286,-5478.15825306,0.0387200312803,0.105689913034,375.936893015,-74.6904873022,900.425061464,10,200.0,67.6479457092,104.567955475,59.2383880615,0.869750022888,1692.515,,60.1767654419,0.153343677521
-127.206466675,220.0,0.0739422424658,-0.11222294718,-123.81816864,360169,0.852444648743,725.500421131,0.532823284829,-0.217543676496,-4383.95612721,0.0319687972243,0.107741937041,369.659200495,-68.9826710495,974.327162743,11,220.0,79.2838507271,95.5887696838,68.0536575317,0.844475865364,1637.13181818,,68.7141571045,0.155561923981
-139.440414429,240.0,0.0739422424658,-0.141994044185,-135.657897949,393063,0.86400949955,3024.74813739,0.52703410222,-0.0870393440127,-3281.72350407,0.0335110238957,0.112451292574,363.233376819,-57.9951745274,1082.122473,12,240.0,93.9607941437,81.5576838684,65.0370941162,0.86017781496,1637.7625,,66.0068511963,0.159467205405
-144.114822388,260.0,0.0458634452633,-0.118029795587,-139.183197021,414729,0.861533105373,5974.65622995,0.521492765907,-0.151434808969,-2344.87378728,0.0340998946191,0.114909887314,357.209774342,-48.08194177,1161.02366114,13,260.0,84.0680873108,61.4501807404,72.0703964233,0.853455483913,1595.11153846,,73.1098251343,0.161768853664
-136.258483887,280.0,0.0375871329561,-0.178202524781,-131.281265259,443344,0.881399452686,6335.7421246,0.513382391353,-0.119004763663,-1633.41576336,0.0302012927219,0.116963356733,355.617450927,-36.9702755737,1246.68797565,14,280.0,171.945477142,36.4047183895,87.0564651489,0.863865435123,1583.37142857,,89.0498199463,0.163290068507
-146.476547241,300.0,0.0375871329561,-0.153148531914,-138.672424316,465585,0.881216824055,10025.067543,0.503866044775,-0.225975513458,-310.416321024,0.026488770095,0.119373261929,352.171469559,-16.1840862904,1322.04065418,15,300.0,132.404307785,6.13357107162,89.9410552979,0.893056929111,1551.95,,93.2150497437,0.165030062199
-147.434844971,320.0,0.0375871329561,-0.189276531339,-142.926330566,479827,0.886921703815,11926.5263202,0.499871893985,-0.192797601223,713.069637612,0.0242060377275,0.121191106737,347.507078284,-6.56470243982,1380.76899719,16,320.0,230.075260086,-7.55464876175,100.642448425,0.891586661339,1499.459375,,102.874206543,0.168431460857
-141.763961792,340.0,0.0368465179454,-0.221246361732,-138.740447998,492478,0.875957787037,10834.8833777,0.502622457594,-0.29285082221,870.219696437,0.0143368474197,0.122629001737,342.516250286,0.602956713535,1437.82375169,17,340.0,373.572884674,-41.7860783195,117.613372803,0.897669017315,1448.46470588,,118.996292114,0.171367049217
-166.268890381,360.0,0.0368465179454,-0.277773499489,-158.983215332,502623,0.848124146461,10467.3894616,0.500588269424,-0.276979625225,1214.08822629,0.0127054906968,0.124294809997,335.652358625,10.9599111252,1497.45111895,18,360.0,366.699488678,-66.9930670929,116.726722717,0.822871863842,1396.175,,121.297355652,0.174800023437
-176.587615967,380.0,0.0301973600334,-0.457072615623,-171.057830811,515178,0.762952685356,12090.662156,0.499864439423,-0.500681340694,1978.18368911,0.00839095227336,0.127014741302,331.604003569,23.4879384135,1553.59402919,19,380.0,566.004272003,-49.6741312265,120.52028656,0.72089278698,1355.73157895,,123.693901062,0.178654000163
-194.050262451,400.0,0.0301973600334,-0.473039358854,-190.53944397,529195,0.775167882442,15519.5562089,0.495521794064,-0.460112333298,3647.07681146,0.00668973216792,0.129603296518,327.268125885,44.4982728132,1617.00745702,20,400.0,685.09307785,-82.0526197052,125.966873169,0.775383234024,1322.9875,,129.059082031,0.183008044958
-181.110565186,420.0,0.0301973600334,-0.440915733576,-176.198684692,542044,0.80141377449,16333.8840651,0.496074651402,-0.297401219606,4432.31116797,0.000687600283498,0.130515560508,324.682060451,56.0630630868,1669.46088505,21,420.0,1247.83898071,-124.475956154,159.376800537,0.869730353355,1290.58095238,,163.238479614,0.18457570672
-162.951843262,440.0,0.0301973600334,-0.287925720215,-155.421981812,560288,0.890099942684,25812.7090189,0.490653550747,-0.195328190923,6538.96726973,-0.000623493395388,0.135253250599,322.753856959,90.3502458911,1735.96066451,22,440.0,1209.22003815,-154.53659481,186.447311401,0.868123412132,1273.38181818,,192.641571045,0.190926164389
-158.913421631,460.0,0.0301973600334,-0.124292679131,-147.987075806,580834,0.93098282814,39820.0342647,0.484530754795,-0.190542951226,9606.68519116,-0.00214628096979,0.140341594815,321.377452783,131.412662367,1807.32654071,23,460.0,1309.1818576,-229.152409515,187.538375854,0.913007318974,1262.6826087,,193.313644409,0.197356417775
-153.517181396,480.0,0.0301973600334,0.125638142228,-145.825561523,601331,0.919598519802,50186.6580312,0.479589174267,0.16626419127,12021.6158437,-0.00178305033453,0.144409373403,321.23111647,174.577636464,1871.95750713,24,480.0,1902.59704956,-286.111379089,186.720184326,0.895745158195,1252.77291667,,191.280899048,0.202077761292
-140.220428467,500.0,0.0301973600334,-0.0483561046422,-133.679840088,612245,0.930246472359,50796.241724,0.478320661927,0.0159364361316,13076.909794,-0.00160048940029,0.146089538932,318.708386074,197.167457289,1921.01942325,25,500.0,1419.50111267,-373.051928101,194.527862549,0.921864390373,1224.49,,197.572402954,0.203566908836
-123.207977295,520.0,0.0368465179454,-0.0516957901418,-118.471328735,631454,0.946352422237,64112.528415,0.474547897348,-0.0415076687932,15909.2760232,-0.000962980716094,0.15005633235,317.110581262,249.845656115,1991.27382469,26,520.0,3317.18933716,-486.279035339,197.108581543,0.921168863773,1214.33461538,,199.545578003,0.206539452076
-96.6162948608,540.0,0.0368465179454,-0.0608127824962,-77.4474868774,641263,0.952548027039,59982.9689399,0.474872389507,-0.0266208276153,16436.0046161,0.0015508550673,0.15123257041,314.698834046,271.878466575,2037.70376825,27,540.0,2636.18800049,-609.192149048,218.299316406,0.940558493137,1187.52407407,,223.889877319,0.207042485476
-85.36668396,560.0,0.0368465179454,-0.0888063982129,-76.7659606934,662453,0.947569489479,62187.0563848,0.471767812872,-0.0992379561067,18996.03719,0.00263629076882,0.155153885484,313.920713479,339.656076784,2110.25577974,28,560.0,3559.49322266,-746.984596558,216.762710571,0.936533212662,1182.95178571,,222.566268921,0.209883540869
-56.4844436646,580.0,0.0449597542038,-0.078125834465,-48.7454681396,679181,0.947334349155,60242.4335657,0.472597489755,-0.0603192150593,20335.5499337,0.00660007140231,0.157472610474,312.185191049,384.853526598,2175.57084537,29,580.0,1838.63734375,-859.246048584,231.126235962,0.957051455975,1171.00172414,,232.809555054,0.21145914495
-22.1771812439,600.0,0.0415195786941,-0.0937354639173,-15.7914133072,693830,0.969788432121,63965.5161297,0.471060171652,-0.0191514566541,21558.3441833,0.00774770659715,0.159842371941,310.00152075,434.03578947,2238.15031075,30,600.0,3681.2886261,-1040.27778076,241.691543579,0.931339621544,1156.38333333,,243.913330078,0.212704986334
5.99758291245,620.0,0.0458634452633,0.259491801262,13.005449295,703690,0.925576269627,50776.574556,0.471670983806,0.268521845341,21533.033851,0.00949188639214,0.160869374871,307.758042902,459.741495034,2286.50401258,31,620.0,3600.60419861,-1108.34505249,253.649612427,0.916096925735,1134.98387097,,255.464294434,0.213216245174
28.5018768311,640.0,0.0458634452633,0.166368886828,37.4407577515,717782,0.947521090508,52865.1323356,0.47076551361,0.191338732839,22128.0558222,0.0127524484507,0.163140252233,305.863616488,513.484053378,2346.73874664,32,640.0,3485.67904419,-1189.29664795,279.45425415,0.934778869152,1121.534375,,283.140106201,0.214526206255
58.8291816711,660.0,0.0415195786941,-0.0591020584106,73.9670715332,743772,0.978904008865,53073.0908991,0.465736066023,0.024370374158,24159.2271459,0.012209926094,0.167511746287,305.376472412,619.813553388,2435.59038496,33,660.0,3927.56373413,-1350.11075684,295.09274292,0.957870543003,1126.92727273,,305.367492676,0.216851204634
56.5922431946,680.0,0.0415195786941,0.192495390773,63.7112159729,778095,0.971166729927,72886.9179484,0.461345418167,0.170701190829,28063.6922888,0.0156426610503,0.173752442002,305.309057893,771.731610162,2548.54869151,34,680.0,2776.65996948,-1508.42336182,287.512268066,0.961133778095,1144.25735294,,291.391967773,0.219676181674
98.0955505371,700.0,0.0415195786941,0.234843179584,107.950775146,795653,0.960119009018,76489.5688591,0.459873995518,0.182024225593,29405.6619941,0.0173872129388,0.17684315145,303.649615601,847.077114885,2620.29971099,35,700.0,8520.42390259,-1740.19531494,312.680908203,0.965391874313,1136.64714286,,318.069915771,0.220817789435
84.9738769531,720.0,0.0415195786941,-0.0725061744452,87.3068847656,837015,0.982713282108,114125.04076,0.452386863497,-0.137429654598,34393.0348106,0.018133137428,0.184062987566,303.372036283,1045.84522034,2759.03807831,36,720.0,6294.20912842,-1919.76032715,301.062744141,0.967205882072,1162.52083333,,299.846801758,0.223545640707
114.322921753,740.0,0.0415195786941,0.246711626649,128.756958008,856314,0.965877056122,119957.858111,0.450488398799,0.209867835045,35348.2993748,0.0201658555867,0.186158716679,301.722231327,1115.17617095,2838.0871911,37,740.0,5211.1148877,-2008.23526367,323.721374512,0.970019102097,1157.18108108,,332.719146729,0.224022999406
150.003570557,760.0,0.0415195786941,-0.128543093801,164.158920288,879410,0.964771568775,121014.492447,0.450674846212,-0.155912414193,36903.3410014,0.0234595941281,0.189339980483,300.402038787,1207.55973671,2927.44351387,38,760.0,6947.72667358,-2309.42054443,329.961303711,0.978823900223,1157.11842105,,338.310638428,0.22519543767
203.926696777,780.0,0.0415195786941,0.234765514731,212.606719971,904447,0.965062081814,106055.958647,0.452590893135,0.216433569789,38062.7007963,0.0293587104469,0.191643685102,299.428356923,1292.4057788,3020.57897687,39,780.0,7289.52440674,-2544.70842041,354.125549316,0.964614391327,1159.5474359,,359.896331787,0.226402968168
