total/epochs,rollout/actions_std,total/steps,reference_Q_std,reference_Q_mean,reference_action_std,rollout/actions_mean,reference_actor_Q_std,obs_rms_mean,rollout/return_history,reference_perturbed_action_std,reference_action_mean,rollout/Q_mean,train/param_noise_distance,param_noise_stddev,rollout/return,total/episodes,total/duration,train/loss_critic,total/steps_per_second,reference_actor_Q_mean,reference_perturbed_action_mean,train/loss_actor,rollout/episodes,obs_rms_std,rollout/episode_steps
1,0.447908845212,39384,1.84743845463,1.15048265457,0.687194824219,0.0362848435072,2.02288627625,0.0886431187391,139.866546128,0.55924975872,0.200575605035,0.34277526807,,0.2,139.866546128,20.0,160.332988739,0.863573758751,245.638781574,1.71121668816,0.201139703393,-1.5832388401,20.0,0.117166519165,1969.2
2,0.464754798997,68009,8.07291126251,4.71575069427,0.843362390995,0.131605531516,8.25587368011,0.0903990417719,3467.95642936,0.706197619438,0.214855611324,3.87091129606,,0.2,3467.95642936,40.0,287.923018456,80.0078490162,236.205498139,5.65455341339,-0.0433044843376,-9.13908636093,40.0,0.123564779758,1700.225
3,0.492709092979,89058,25.617477417,32.3320388794,0.871444225311,0.136187649958,27.3820285797,0.0887234807014,3330.68017707,0.865769147873,-0.160221010447,8.04089952107,,0.121607764938,3330.68017707,60.0,400.639860868,71.0109239578,222.289414256,34.5265769958,-0.249974131584,-39.7300123596,60.0,0.131843939424,1484.3
4,0.492353494418,93683,40.2724266052,48.9325637817,0.910129308701,0.12475643469,41.9643478394,0.0907417759299,3189.44228245,0.87718129158,0.141389429569,13.0428615766,,0.121607764938,3189.44228245,80.0,454.519328117,84.5599663925,206.114447075,52.809387207,0.22510330379,-65.0476881409,80.0,0.135737001896,1171.0375
5,0.498363228264,102344,56.1562156677,80.6282196045,0.932825028896,0.0936216659964,57.9378509521,0.092115432024,3272.02190621,0.857906639576,0.293661952019,19.1479082517,,0.121607764938,3272.02190621,100.0,520.024023533,110.237313995,196.806292341,85.6267852783,-0.0553013049066,-102.128576813,100.0,0.139943346381,1023.44
6,0.511170490903,109470,82.5319519043,95.8189697266,0.941508591175,0.0737400701076,85.0672912598,0.0935080498457,4009.55112624,0.889422416687,0.278033792973,28.7354362269,,0.0902235877882,3364.60369622,120.0,580.90787673,161.981433983,188.446403268,100.220199585,0.19016893208,-135.527546692,120.0,0.144307345152,912.25
7,0.50499858971,117412,95.1718444824,90.2872009277,0.945035874844,0.0696522287474,96.4158096313,0.0974157601595,4630.23700922,0.92009305954,0.287324905396,52.4778400735,,0.0902235877882,4298.15684355,140.0,644.609069109,158.370085831,182.144505293,93.3770141602,0.267224133015,-155.581851654,140.0,0.149201408029,838.657142857
8,0.497380161919,126488,112.098899841,73.8777542114,0.946962952614,0.061476754959,114.707565308,0.10226047039,6605.22913796,0.896484375,0.275121361017,84.6555852942,,0.0594049171034,5377.27327763,160.0,714.169713497,387.165584564,177.111963178,80.5298309326,0.174750939012,-182.238825073,160.0,0.154586464167,790.55
9,0.466745952317,156090,133.010345459,91.9646759033,0.927355229855,0.0376869721479,135.995880127,0.10502320528,10893.5396663,0.900596320629,-0.179206818342,152.54945673,,0.0594049171034,7469.49638459,180.0,846.634944201,564.346024475,184.365175415,95.3528289795,0.0836402475834,-277.677690125,180.0,0.153032884002,867.166666667
10,0.456185765064,190418,160.492263794,117.451171875,0.942700505257,0.00856160849239,164.697692871,0.106216609478,15882.9531918,0.930129528046,0.295412987471,222.067085079,,0.0375871329561,9577.48754901,200.0,994.323766947,828.620908508,191.505027165,122.491928101,0.269164472818,-369.129845581,200.0,0.151930958033,952.09
11,0.474420965099,217082,191.502685547,176.060470581,0.968183994293,-0.0355370213264,192.858154297,0.108420580626,20485.6300938,0.87323987484,0.0621465332806,274.222120782,,0.0375871329561,11146.8884224,220.0,1119.51745868,433.869898987,193.906757163,183.809890747,0.0101434616372,-480.703651733,220.0,0.155686080456,986.736363636
12,0.49411576495,248082,207.737930298,234.774627686,0.884982347488,-0.0191362598132,209.506454468,0.108391754329,21692.8785084,0.826288759708,0.0192780978978,298.684883779,,0.0375871329561,11545.9575372,240.0,1264.54352427,579.98071106,196.183045692,244.189834595,0.0280582420528,-570.498692627,240.0,0.155060216784,1033.675
13,0.54003538827,283619,222.380325317,333.096191406,0.858618319035,0.00525277201441,230.12890625,0.106158167124,20869.426711,0.826571583748,0.0255613252521,306.566672892,,0.0252455158308,11335.7938289,260.0,1426.92591953,1273.08784119,198.76224555,341.989898682,0.160983473063,-652.960015869,260.0,0.153075844049,1090.84230769
14,0.547692120843,310227,255.384613037,342.294647217,0.86311596632,0.0294696387089,260.381652832,0.106994047761,19353.5591311,0.885042130947,-0.32522726059,333.123009802,,0.0159735356322,11713.8045084,280.0,1550.99423218,662.020469208,200.018151947,351.494567871,-0.118057645857,-673.037720337,280.0,0.153230920434,1107.95357143
15,0.543952321146,332555,261.679260254,411.617370605,0.906170845032,0.0173771510189,271.387634277,0.108584344387,18633.6865289,0.90718370676,0.0313567258418,380.657558594,,0.0159735356322,12596.2205423,300.0,1659.54665351,771.184041443,200.389063662,423.071960449,-0.227411568165,-774.279064941,300.0,0.156114816666,1108.51666667
16,0.53717144162,353214,298.904144287,480.407440186,0.897768437862,0.0158908286988,305.508117676,0.110676020384,19300.8975296,0.897555828094,-0.230427786708,437.002606493,,0.0159735356322,13695.0162684,320.0,1763.67021036,1621.13912598,200.27213587,500.158447266,-0.254679650068,-866.760772705,320.0,0.158001661301,1103.79375
17,0.52636214982,376492,317.228942871,543.326904297,0.854397296906,0.017880635405,322.185180664,0.111929476261,21627.8659586,0.843567073345,-0.182634800673,495.222312149,,0.0159735356322,14511.22472,340.0,1875.90723586,1534.35032837,200.698623473,558.365966797,-0.195026010275,-966.224417725,340.0,0.159201592207,1107.32941176
18,0.51835430003,396380,342.973632812,574.584838867,0.858732759953,0.0173178296315,355.773925781,0.113560006022,25710.9069156,0.860949456692,-0.151918888092,540.323728286,,0.0159735356322,15328.8807975,360.0,1984.15078783,1618.51422943,199.773123309,595.751159668,-0.115973703563,-1045.56853271,360.0,0.16009786725,1101.05555556
19,0.513669503487,411277,368.749786377,589.724731445,0.853861987591,0.0143106377491,377.42791748,0.115822255611,29528.1353493,0.792255163193,-0.290671378374,586.821435518,,0.0159735356322,16401.7863086,380.0,2075.55576205,1270.02943481,198.152710479,604.495178223,-0.424991309643,-1114.38585693,380.0,0.161718070507,1082.30789474
20,0.509635490348,423139,400.902069092,656.895385742,0.883772611618,0.0115500233154,399.615905762,0.118439972401,30874.5658833,0.797631680965,-0.251192510128,630.243775984,,0.0159735356322,17165.8068776,400.0,2155.95084214,1488.89843323,196.265606678,684.072021484,-0.396872699261,-1177.98624756,400.0,0.163934037089,1057.8475
21,0.504927522527,437155,416.84286499,747.015319824,0.846162080765,0.0103198483764,425.006774902,0.120469279587,30777.95115,0.837973237038,-0.204713404179,677.258296878,,0.0159735356322,17762.3817164,420.0,2244.54380035,2506.22800415,194.763408017,774.058227539,-0.242684572935,-1273.55344971,420.0,0.165439039469,1040.8452381
22,0.500376211389,449563,428.118713379,716.22833252,0.858394265175,0.00809264446027,438.400085449,0.122713156044,31984.9243491,0.856178998947,0.112148985267,725.344014442,,0.025752950699,18482.5200902,440.0,2326.2188313,1712.37716309,193.259118167,747.351623535,-0.0530030056834,-1330.73388306,440.0,0.166820570827,1021.73409091
23,0.496417475796,461175,466.289672852,859.74041748,0.864647090435,0.00640617274803,475.869018555,0.124776616693,31287.9581358,0.857732713223,0.107281245291,769.151309162,,0.0333566720219,18798.2454362,460.0,2403.24826312,2233.1439917,191.896528992,895.03302002,0.0202604420483,-1433.09814453,460.0,0.168185859919,1002.55434783
24,0.492436575538,473058,471.049987793,935.008422852,0.875045478344,0.00444014961416,475.18157959,0.126778587699,29996.2226472,0.883578777313,0.112200856209,815.52658955,,0.0333566720219,19233.9605458,480.0,2482.82258534,5024.32078247,190.532341212,968.761352539,0.146774023771,-1571.36422363,480.0,0.16940112412,985.5375
