rollout/return,obs_rms_std,reference_action_mean,rollout/episode_steps,rollout/actions_mean,rollout/actions_std,reference_action_std,total/steps,reference_perturbed_action_mean,reference_perturbed_action_std,total/steps_per_second,total/epochs,obs_rms_mean,reference_actor_Q_std,train/loss_critic,rollout/episodes,rollout/Q_mean,reference_Q_mean,total/episodes,train/param_noise_distance,reference_Q_std,total/duration,reference_actor_Q_mean,rollout/return_history,param_noise_stddev,train/loss_actor
19.4473379244,0.128648459911,0.235939875245,1990.15,0.175447850079,0.563847223053,0.728674352169,39803,0.449554055929,0.626670181751,234.796471032,1,0.0861043855548,1.44595730305,0.15080928348,20.0,0.584501796462,1.2048535347,20.0,,1.38041973114,169.521287203,1.68497979641,19.4473379244,0.2,-1.48699303627
619.313637953,0.138601928949,0.035218834877,1793.225,0.280448190837,0.571407482166,0.860568761826,71729,-0.0726324766874,0.599409937859,233.456525366,2,0.0833872407675,5.52170038223,3.9865261972,40.0,2.31020696854,9.58589267731,40.0,,5.22909498215,307.247783661,10.6456756592,619.313637953,0.2,-11.740104599
1442.25342796,0.1423253268,0.23257766664,1556.41666667,0.296157490181,0.555743321441,0.875147402287,93385,0.105237238109,0.747575819492,225.752290627,3,0.08247359097,13.8534822464,19.0415423536,60.0,7.68231834387,20.376739502,60.0,,12.7205324173,413.661361933,21.6287841797,1442.25342796,0.2,-26.8763262558
1765.47981439,0.143504410982,0.0159257277846,1520.2875,0.33561960867,0.552307772109,0.927266597748,121623,0.239685162902,0.859046936035,225.181414106,4,0.0818927362561,18.5297527313,14.514522562,80.0,14.5027327002,36.3950119019,80.0,,18.1111412048,540.111183167,39.2140579224,1765.47981439,0.2,-42.4385284424
1747.85463301,0.144155293703,-0.0560950785875,1466.9,0.264731284418,0.583849997105,0.886078596115,146690,-0.265324860811,0.690771102905,222.181000364,5,0.0820273756981,19.5249767303,13.6429843283,100.0,20.415428264,55.7691497803,100.0,,18.5486774445,660.227471113,58.8698768616,1747.85463301,0.121607764938,-60.2834030914
3054.85940627,0.145271629095,-0.0725629255176,1457.78333333,0.21698000714,0.564460312918,0.901366770267,174934,-0.0309186689556,0.859300971031,221.783684302,6,0.084650143981,28.0376262665,35.1973374462,120.0,34.5611256215,66.1031494141,120.0,,26.0906581879,788.759554386,71.4987182617,3661.94181993,0.0739422424658,-84.7709858704
6855.85528489,0.145180895925,-0.0350794196129,1482.93571429,0.183224995808,0.530481741999,0.946285247803,207611,0.047758191824,0.867065608501,222.601832327,7,0.0893212109804,39.8486366272,94.8667791939,140.0,69.1340615544,81.9550247192,140.0,,37.9357948303,932.656294107,85.6686859131,9350.47194367,0.0739422424658,-128.282205353
9361.60737071,0.143070220947,-0.00365220475942,1529.375,0.142921668015,0.509998253011,0.92867898941,244700,-0.00570114795119,0.914314091206,224.497491652,8,0.0915650352836,47.3694534302,188.687973328,160.0,106.44997509,107.644989014,160.0,0.286732860506,46.3846168518,1089.98990679,111.135864258,14113.2197364,0.048684971323,-202.645114441
10349.0086082,0.144068479538,-0.022586716339,1507.21666667,0.124011405732,0.499251503195,0.945055305958,271299,-0.0556107051671,0.932204306126,222.85814629,9,0.0927426964045,60.9288253784,96.3674039459,180.0,132.500059031,121.6537323,180.0,,58.7776298523,1217.36182642,126.315513611,17215.8316433,0.048684971323,-265.935031738
11221.3646738,0.146069079638,-0.0400119312108,1470.655,0.0928410000627,0.503299625754,0.963102400303,294131,-0.055150616914,0.95627528429,221.43325337,10,0.093491718173,79.3623123169,162.251173401,200.0,153.290389664,163.989074707,200.0,,74.0444717407,1328.30546236,174.00769043,20694.8747145,0.0391133212786,-327.181368408
12930.291833,0.148004248738,-0.0207705106586,1438.65,0.0869398166948,0.495007942048,0.959093749523,316503,0.0240365732461,0.948147773743,219.736133475,11,0.0961803719401,100.970214844,345.24858429,220.0,188.332139807,189.234863281,220.0,,92.3798217773,1440.37757921,199.578292847,24780.810745,0.0391133212786,-410.493597412
14793.2710118,0.147775217891,0.163951277733,1442.2125,0.0821752745574,0.483758920513,0.89463531971,346131,0.27431666851,0.926142096519,218.47376042,12,0.0988494232297,138.497680664,348.073592377,240.0,242.631026672,187.931610107,240.0,,128.918762207,1584.31382942,202.714538574,25905.6530294,0.0391133212786,-501.724371948
15547.1587957,0.147918626666,-0.101478375494,1446.61538462,0.0718938043198,0.486242855243,0.929866671562,376120,0.0155836399645,0.912603199482,217.807371318,13,0.100859105587,155.809677124,632.175154724,260.0,294.379920595,176.139312744,260.0,,141.753494263,1726.84697366,188.005889893,25444.0410757,0.0314234939421,-559.387488403
15929.986467,0.147261381149,0.270582705736,1475.72142857,0.0342173831602,0.502419838534,0.807411015034,413202,0.290974110365,0.791432917118,219.158977299,14,0.102417185903,159.484985352,648.427145538,280.0,337.970295795,158.780670166,280.0,,155.516296387,1885.39846778,159.830963135,25975.7466129,0.0314234939421,-590.28571228
16609.2499899,0.148298591375,-0.0588516816497,1464.21666667,0.0269181248335,0.500733147569,0.925216436386,439265,-0.102429687977,0.942091286182,219.121002882,15,0.103750295937,172.781616211,1186.48794861,300.0,368.609740523,166.915969849,300.0,,160.214126587,2004.66862702,175.400314331,27385.0206222,0.0326994138044,-660.01477478
16852.1158329,0.149094313383,0.167606130242,1471.628125,-0.00317801892053,0.513629006124,0.865238726139,470921,0.116926446557,0.88986235857,219.556107088,16,0.104061551392,199.530441284,1146.12703003,320.0,389.943919342,214.883575439,320.0,,187.524917603,2144.87770915,223.875534058,25480.1286328,0.0326994138044,-738.711861572
17066.6381827,0.149482175708,0.220997467637,1473.24411765,-0.0153237003452,0.509592055442,0.826421141624,500903,0.353180229664,0.757782697678,220.097138173,17,0.104721233249,227.995895386,912.562600708,340.0,421.583096177,218.591094971,340.0,,212.003707886,2275.82695603,225.478820801,22522.7193931,0.0326994138044,-828.138062744
