total/epochs,rollout/actions_std,total/steps_per_second,rollout/episodes,train/param_noise_distance,rollout/return_history,reference_action_mean,total/episodes,rollout/return,rollout/episode_steps,reference_Q_std,train/loss_actor,param_noise_stddev,total/duration,reference_Q_mean,rollout/Q_mean,rollout/actions_mean,train/loss_critic,reference_perturbed_action_std,reference_actor_Q_std,reference_action_std,obs_rms_std,reference_perturbed_action_mean,reference_actor_Q_mean,total/steps,obs_rms_mean
1,0.526621906215,430.537646666,20.0,,270685.991229,-0.55686467886,20.0,270685.991229,1919.65,0.0192098412663,-120.48770813,0.2,89.1745479107,123.178901672,72.8783046989,-0.276234196941,29557.9323047,0.536841750145,0.0199050307274,0.168685570359,0.145236223936,0.0498692579567,123.178222656,38393,0.12661793828
2,0.5329126303,424.98828715,40.0,,271854.322121,-0.548155784607,40.0,271854.322121,1914.925,0.00532858399674,-251.261210327,0.2,180.233202457,255.346801758,127.269272599,-0.242982696503,30431.610625,0.320635050535,0.00623230170459,0.154636278749,0.152075231075,-0.720830261707,255.346572876,76597,0.143774554133
3,0.543318054493,424.458951224,60.0,,274108.039977,-0.566752672195,60.0,274108.039977,1943.95,0.00718744844198,-426.193010254,0.2,274.789822817,431.22366333,198.651940781,-0.231353783709,28865.4772266,0.329994559288,0.00828392803669,0.141331464052,0.152417302132,-0.582367658615,431.223602295,116637,0.152328506112
4,0.516727657998,420.312965172,80.0,,273844.732343,-0.629838168621,80.0,273844.732343,1940.5,0.00245639262721,-637.962653809,0.2,369.343829155,643.880126953,280.403648947,-0.283074704786,26571.0935547,0.449222743511,0.00252979714423,0.118904471397,0.152681604028,-0.117767818272,643.880065918,155240,0.157722830772
5,0.510314497466,419.858961605,100.0,,273557.210374,-0.731480538845,100.0,273557.210374,1937.76,0.00345798465423,-885.134468994,0.2,461.526411772,891.846191406,374.896787006,-0.32089308852,25285.8717188,0.304710149765,0.00334995589219,0.110775485635,0.153158858418,-0.692126810551,891.846191406,193776,0.160883128643
6,0.497574729217,415.408183472,120.0,,275266.576512,-0.862966060638,120.0,274503.145632,1948.46666667,0.0150851784274,-1162.67596924,0.154409592672,562.858434916,1170.17626953,485.71727401,-0.366011123764,24596.5314648,0.335796326399,0.0147565668449,0.127156019211,0.153669536114,-0.666331827641,1170.17614746,233816,0.163623809814
7,0.482138676393,411.695018969,140.0,,276295.67763,-0.946915090084,140.0,275026.718913,1956.11428571,0.00938220694661,-1468.99273682,0.184696644496,665.191433907,1477.45129395,606.781658782,-0.416393370137,22590.1598047,0.209639340639,0.00814826507121,0.0712154582143,0.153629124165,-0.93768876791,1477.4519043,273856,0.165607959032
8,0.475761166951,410.612394058,160.0,,276257.997979,-0.974333584309,160.0,275451.763728,1961.85,0.0115307290107,-1804.69995361,0.184696644496,764.458171606,1814.18212891,737.950070991,-0.456859931305,20787.7215039,0.0245138499886,0.0103441877291,0.0404011718929,0.153416022658,-0.973987340927,1814.18261719,313896,0.167306482792
9,0.472460602413,410.522487046,180.0,,276121.273343,-0.762812435627,180.0,275109.477343,1958.09444444,0.0914914309978,-2166.50163574,0.234515728985,858.557109833,2176.83300781,874.8992881,-0.492795421238,21824.3566016,0.113207757473,0.0847820416093,0.218564063311,0.152620255947,-0.927108943462,2176.83374023,352457,0.168675303459
10,0.465840489244,409.576978137,200.0,,277280.988624,-0.677717685699,200.0,275419.099499,1962.485,0.0438921302557,-2551.76866211,0.234515728985,958.298490763,2563.09790039,1026.21993371,-0.529075062388,24330.0103906,0.10812959075,0.0442169159651,0.345496296883,0.15275298059,-0.930111408234,2563.09838867,392497,0.16932760179
11,0.463110378677,408.898151959,220.0,,275055.112168,-0.98947507143,220.0,274754.039512,1954.26363636,0.163057282567,-2966.24364746,0.234515728985,1051.45498443,2977.89599609,1176.41818054,-0.54292096976,23540.8698242,0.113317221403,0.152539938688,0.0212352816015,0.152328848839,-0.944679737091,2977.90771484,429938,0.170191302896
12,0.475515128619,409.350184646,240.0,,274493.366842,-0.457689613104,240.0,274804.488883,1953.2375,2.43464398384,-3397.10135254,0.286153756718,1145.17353988,3410.14013672,1342.26739914,-0.538666035404,20469.3654102,0.710824847221,1.99868035316,0.839414060116,0.152623593807,-0.527674674988,3410.56201172,468777,0.170625954866
